time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-31T19:03:42.680Z,-24.1531,-66.896,183.73,4.5,mb,,84,1.677,0.49,us,us2000izhj,2019-03-05T17:46:41.040Z,"59km W of San Antonio de los Cobres, Argentina",earthquake,8.4,10.3,0.124,19,reviewed,us,us
2018-12-31T17:26:01.660Z,-22.193,-68.7567,106.61,4.5,mb,,72,0.598,0.87,us,us2000izh4,2019-03-05T17:46:41.040Z,"35km NNE of Calama, Chile",earthquake,6.1,5.2,0.089,37,reviewed,us,us
2018-12-31T10:49:41.250Z,-31.7756,-69.2343,99.39,5.3,mww,,30,0.522,1.17,us,us2000izex,2019-03-05T17:46:41.040Z,"51km SSE of Calingasta, Argentina",earthquake,6.4,3.8,0.05,39,reviewed,us,us
2018-12-30T04:48:33.030Z,-24.128,-66.6556,194.34,4.5,mb,,54,1.823,1.26,us,us2000iz3d,2019-03-05T17:46:39.040Z,"35km WNW of San Antonio de los Cobres, Argentina",earthquake,8.5,8.3,0.08,46,reviewed,us,us
2018-12-29T16:31:21.470Z,-23.5244,-66.9726,231.24,4.5,mb,,50,1.247,0.66,us,us2000iyyl,2019-03-05T17:46:38.040Z,"101km NW of San Antonio de los Cobres, Argentina",earthquake,9.8,13.3,0.242,5,reviewed,us,us
2018-12-29T13:57:16.150Z,-29.8408,-72.0665,41.42,4.6,mb,,147,0.723,0.55,us,us2000iyxd,2019-03-05T17:46:38.040Z,"70km W of Coquimbo, Chile",earthquake,2.5,9.9,0.193,8,reviewed,us,us
2018-12-27T02:41:01.150Z,-32.0042,-69.3981,117.42,4.5,mb,,48,0.76,0.81,us,us2000ixxq,2019-03-05T17:46:35.040Z,"74km S of Calingasta, Argentina",earthquake,3.5,6.3,0.106,26,reviewed,us,us
2018-12-24T20:55:57.800Z,-22.1407,-68.953,99.64,4.6,mb,,62,0.435,1.02,us,us2000ix89,2019-03-05T17:46:32.040Z,"36km N of Calama, Chile",earthquake,5.7,4.2,0.07,60,reviewed,us,us
2018-12-24T02:19:29.970Z,-21.4053,-68.2275,114.54,5,mwr,,39,1.021,0.85,us,us2000iwy7,2019-03-05T17:46:31.040Z,"138km NNE of Calama, Chile",earthquake,6.1,3.9,0.06,27,reviewed,us,us
2018-12-23T18:50:44.430Z,-27.621,-69.1494,106.35,4.5,mb,,58,0.963,0.8,us,us2000iwrv,2019-02-23T20:22:43.040Z,"120km ESE of Copiapo, Chile",earthquake,7.1,9.4,0.172,10,reviewed,us,us
