time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-30T20:37:21.885Z,-29.7393,-69.3807,121.84,4.6,mb,,49,0.663,0.75,us,us70005ae6,2019-08-31T15:37:46.515Z,"82km NW of San Jose de Jachal, Argentina",earthquake,6.8,5.8,0.074,55,reviewed,us,us
2019-08-24T02:33:00.195Z,-31.1082,-71.4052,61.65,4.8,mww,,81,0.36,0.94,us,us700057ru,2019-08-28T15:08:59.178Z,"59km SSW of Ovalle, Chile",earthquake,6.4,4.5,0.069,20,reviewed,us,us
2019-08-15T14:23:41.522Z,-29.9127,-72.0228,14.27,5,mb,,153,0.681,1.09,us,us600055ei,2019-08-15T14:59:54.040Z,"65km W of Coquimbo, Chile",earthquake,5.7,2.1,0.082,47,reviewed,us,us
2019-08-10T17:16:05.686Z,-31.7558,-71.3759,49.6,4.7,mb,,128,0.637,0.87,us,us600053g8,2019-08-13T14:11:29.040Z,"24km SW of Illapel, Chile",earthquake,4.8,5.1,0.058,89,reviewed,us,us
2019-07-23T18:40:00.178Z,-31.6447,-69.6728,115.39,4.7,mb,,55,0.849,0.9,us,us60004u87,2019-08-22T19:50:57.040Z,"42km SW of Calingasta, Argentina",earthquake,2.3,6.8,0.174,10,reviewed,us,us
2019-07-13T01:02:23.288Z,-30.8276,-71.5082,47.02,4.5,mb,,142,0.188,1.16,us,us70004jeb,2019-08-09T03:19:04.665Z,"38km SW of Ovalle, Chile",earthquake,6.7,4.8,0.22,7,reviewed,us,us
2019-07-12T09:25:03.015Z,-30.7523,-71.4746,50.31,4.6,mb,,43,0.158,0.78,us,us70004iw6,2019-08-14T09:40:26.040Z,"31km WSW of Ovalle, Chile",earthquake,4.7,4.6,0.071,59,reviewed,us,us
2019-07-04T00:01:54.482Z,-31.8429,-69.515,115.65,4.5,mb,,68,0.767,0.73,us,us700049pt,2019-07-20T03:55:33.040Z,"57km S of Calingasta, Argentina",earthquake,5.6,6.6,0.15,13,reviewed,us,us
2019-06-30T05:50:59.675Z,-31.5382,-71.5037,41.04,4.5,mb,,146,0.544,0.34,us,us700047l0,2019-07-26T11:54:47.885Z,"33km WNW of Illapel, Chile",earthquake,2.9,7.4,0.091,36,reviewed,us,us
2019-06-29T04:57:03.542Z,-30.1956,-71.3476,58.13,4.5,mb,,132,0.291,0.57,us,us7000476a,2019-07-25T23:26:53.190Z,"26km S of Coquimbo, Chile",earthquake,7.8,6,0.243,5,reviewed,us,us
